שם ראשי,תואר,שם מישני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
אפיקים בנגב,,,א. ידידי העיר,,רחוב,871,קרית יהודית
גוזלן,,"חיים, יוסף, רפאל",ב. תושבי העיר,,רחוב,872,קרית יהודית
דורפמן,,,ב. תושבי העיר,,רחוב,873,קרית יהודית
ונטורה,,ויקטור,ב. תושבי העיר,,רחוב,874,קרית יהודית
טאוב,,צבי,ב. תושבי העיר,,רחוב,875,קרית יהודית
מזרחי,,אליהו,ב. תושבי העיר,,רחוב,876,קרית יהודית
מרגולין,,אליעזר וצילה,ב. תושבי העיר,,רחוב,877,קרית יהודית
ניסנמן,,מאיר,ב. תושבי העיר,,רחוב,878,קרית יהודית
סולל בונה,,,א. ידידי העיר,,רחוב,894,קרית יהודית
סלמה,,יצחק,ב. תושבי העיר,,רחוב,879,קרית יהודית
קטינקא,,ברוך,א. ידידי העיר,טז. אנשי ציבור,רחוב,880,קרית יהודית
רובק,,,ב. תושבי העיר,,רחוב,882,קרית יהודית
שניידרוביץ,,מאיר,ב. תושבי העיר,,רחוב,883,קרית יהודית
תוצרת הארץ,,,ז. מקומות של עם ישראל,,רחוב,113,קרית יהודית
תורן,,יהושוע,ב. תושבי העיר,,רחוב,112,קרית יהודית
אביגד,פרופ',נחמן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1287,רמות
אביגדור אביטל,,,ב. תושבי העיר,,שדרות,1220,רמות
אבידן,,שמעון,ט. לוחמי ישראל,,רחוב,1332,רמות
אבן ארי,פרופ',מיכאל,יא. תרבות ומדע,א. ידידי העיר,רחוב,1236,רמות
אברהם,,(אפריק),ב. תושבי העיר,,גן,,רמות
אברמסון,פרופ',שרגא,יא. תרבות ומדע,,רחוב,1344,רמות
אדם,אלוף,יקותיאל,ט. לוחמי ישראל,,רחוב,1320,רמות
אהרוני,פרופ',יוחנן,יא. תרבות ומדע,א. ידידי העיר,רחוב,1227,רמות
אולנדורף,פרופ',פרנץ,יא. תרבות ומדע,,רחוב,1228,רמות
אורי צבי,,(גרינברג),ד. הסטוריה יהודית,,שדרות,1288,רמות
אייזנשטדט,פרופ',שמואל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1314,רמות
איתן,רב אלוף,רפאל (רפול),ט. לוחמי ישראל,טז. אנשי ציבור,רחוב,1309,רמות
אלבק,פרופ',חנוך,יא. תרבות ומדע,,רחוב,1253,רמות
אלדד,"ד""ר",(ישראל שייב),ד. הסטוריה יהודית,,רחוב,1265,רמות
אלי ואייל,,אישה וכהן,ב. תושבי העיר,ט. לוחמי ישראל,גן,,רמות
אלישר,הרב,חיים משה,ד. הסטוריה יהודית,,רחוב,1258,רמות
אלקחי,,מרדכי,ט. לוחמי ישראל,,רחוב,1289,רמות
אמיר,"ד""ר",אברהם,ב. תושבי העיר,,רחוב,1313,רמות
אנפה,,,יז. צמחים ובעלי חיים,,רחוב,1311,רמות
אסר,פרופ',טוביאס,יא. תרבות ומדע,יג. פרס נובל,רחוב,1203,רמות
אפשטיין,,ישראל,ב. תושבי העיר,,רחוב,1307,רמות
אריה,,(לוין),ב. תושבי העיר,,גן,,רמות
ארלנגר,פרופ',ג'וזף,יא. תרבות ומדע,יג. פרס נובל,רחוב,1221,רמות
אשכול,,לוי,ד. הסטוריה יהודית,יד. יקירי העיר,שדרות,1355,רמות
אשכולית,,,יז. צמחים ובעלי חיים,,רחוב,1371,רמות
בדר,"ד""ר",יוחנן,ד. הסטוריה יהודית,,רחוב,1268,רמות
בודה,,יעקב עורב,יא. תרבות ומדע,ב. תושבי העיר,רחוב,1318,רמות
בודנהימר,,מקס איזידור,ד. הסטוריה יהודית,,רחוב,1353,רמות
בורן,פרופ',מכס,יא. תרבות ומדע,יג. פרס נובל,רחוב,1214,רמות
בית צורי,,אליהו,ט. לוחמי ישראל,,רחוב,1291,רמות
בלוך,פרופ',רודולף,יא. תרבות ומדע,יג. פרס נובל,רחוב,1233,רמות
בן דוד,פרופ',יוסף,יא. תרבות ומדע,,רחוב,1205,רמות
בן יוסף,,שלמה,ט. לוחמי ישראל,,רחוב,1290,רמות
"בנ""צ כרמל",,(בן-ציון),ב. תושבי העיר,,שדרות,1270,רמות
בנטואיץ,פרופ',יוסף,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1243,רמות
בער,פרופ',יצחק,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1201,רמות
בקי,פרופ',רוברטו,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1345,רמות
בר הלל,פרופ',יהושוע,יא. תרבות ומדע,,רחוב,1248,רמות
ברגסון,פרופ',אנרי,יא. תרבות ומדע,יג. פרס נובל,רחוב,1247,רמות
ברוור,פרופ',אברהם יעקב,יא. תרבות ומדע,,רחוב,1256,רמות
ברזני,,משה,ט. לוחמי ישראל,,רחוב,1292,רמות
ברני,פרופ',רוברט,יא. תרבות ומדע,יג. פרס נובל,רחוב,1231,רמות
ברנע,,דב,ב. תושבי העיר,,רחוב,1395,רמות
גבריאל,פרופ',(ליפמן),יא. תרבות ומדע,יג. פרס נובל,רחוב,1209,רמות
גבריהו,פרופ',חיים,יא. תרבות ומדע,,רחוב,1293,רמות
גולדמן,,נחום,י. מנהיגים יהודים,,רחוב,1363,רמות
גינצבורג,פרופ',דוד,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1237,רמות
גלילי,,ישראל,טז. אנשי ציבור,,רחוב,1361,רמות
גרונר,,דב,ט. לוחמי ישראל,,רחוב,1295,רמות
גרינפלד,פרופ',חיים יונה,יא. תרבות ומדע,,רחוב,1346,רמות
גרשם שלום,פרופ',,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1251,רמות
דה הוושי,פרופ',גאורג,יא. תרבות ומדע,יג. פרס נובל,רחוב,1306,רמות
דה שליט,פרופ',עמוס,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1235,רמות
דובדבן,,,יז. צמחים ובעלי חיים,,רחוב,1372,רמות
דוידוביץ,פרופ',לב (לנדאו),יא. תרבות ומדע,יג. פרס נובל,רחוב,1204,רמות
דוכיפת,,,יז. צמחים ובעלי חיים,,רחוב,1317,רמות
דידנר,,מנחם,ב. תושבי העיר,,רחוב,1362,רמות
דרזנר,,יחיאל,ט. לוחמי ישראל,,רחוב,1294,רמות
האוזנר,"עו""ד",גדעון,טז. אנשי ציבור,,רחוב,1358,רמות
האז,פרופ',גיאורג,יא. תרבות ומדע,,רחוב,1238,רמות
האנדרטה,,,ו. ישובים הקשורים לעיר,,רחוב,1267,רמות
הבנים,,,ט. לוחמי ישראל,,חורשה,,רמות
הדעת,,,יא. תרבות ומדע,,רחוב,1200,רמות
הדרי,פרופ',זאב וניה,יא. תרבות ומדע,ב. תושבי העיר,שדרות,1319,רמות
ההשכלה,,,יא. תרבות ומדע,,גשר,,רמות
הוגו שמואל,פרופ',(ברגמן),יא. תרבות ומדע,יב. פרס ישראל,רחוב,1250,רמות
היזה,פרופ',פאול,יא. תרבות ומדע,יג. פרס נובל,רחוב,1246,רמות
הכט,"ד""ר",ראובן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1259,רמות
המדע,,,יא. תרבות ומדע,,רחוב,1240,רמות
המר,,זבולון,טז. אנשי ציבור,,רחוב,1337,רמות
המרד,,,ד. הסטוריה יהודית,,רחוב,1296,רמות
הנגבי,,מיכאל,ב. תושבי העיר,,רחוב,1367,רמות
הנופלים,,,ב. תושבי העיר,,חורשת,,רמות
הערים התאומות,,,ו. ישובים הקשורים לעיר,,שדרות,1356,רמות
הר בוקר,,,ז. מקומות של עם ישראל,,רחוב,1282,רמות
הר בקע,,,ז. מקומות של עם ישראל,,רחוב,1283,רמות
הר חרמון,,,ז. מקומות של עם ישראל,,רחוב,1278,רמות
הר כנען,,,ז. מקומות של עם ישראל,,רחוב,1280,רמות
הר מירון,,,ז. מקומות של עם ישראל,,רחוב,1285,רמות
הר נס,,,ז. מקומות של עם ישראל,,רחוב,1281,רמות
הר עודד,,,ז. מקומות של עם ישראל,,רחוב,1286,רמות
הר עצמון,,,ז. מקומות של עם ישראל,,רחוב,1277,רמות
הר רמון,,,ז. מקומות של עם ישראל,,רחוב,1276,רמות
הר תבור,,,ז. מקומות של עם ישראל,,רחוב,1284,רמות
הרמלין,,יוסף,טז. אנשי ציבור,,רחוב,1324,רמות
וופרטל,,,ו. ישובים הקשורים לעיר,,רחוב,6013,רמות
וייס,,יעקב,ט. לוחמי ישראל,,רחוב,1297,רמות
וילנאי,פרופ',זאב,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1298,רמות
ויצמן אפרים,,,ב. תושבי העיר,,כיכר,,רמות
וירשובסקי,פרופ',חיים,יא. תרבות ומדע,,רחוב,1215,רמות
וקסמן,פרופ',זלמן,יא. תרבות ומדע,יג. פרס נובל,רחוב,1223,רמות
ורטהיימר,פרופ',חיים,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1224,רמות
זאבי,אלוף,רחבעם - גנדי,ט. לוחמי ישראל,,רחוב,1365,רמות
זהרי,פרופ',מיכאל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1213,רמות
זמיר,,ישעיהו,ב. תושבי העיר,,רחוב,1260,רמות
"זק""ש",,נילי,יא. תרבות ומדע,יג. פרס נובל,רחוב,1216,רמות
זרחין,,אלכסנדר,יא. תרבות ומדע,,רחוב,1239,רמות
חביב אבשלום,,,ט. לוחמי ישראל,,רחוב,1299,רמות
חזן,,יעקב,טז. אנשי ציבור,,רחוב,1308,רמות
חכים,,אליהו,ט. לוחמי ישראל,,רחוב,1300,רמות
חלילי,,אברהם,ב. תושבי העיר,,רחוב,1364,רמות
חן,פרופ',ארנסט,יא. תרבות ומדע,יג. פרס נובל,רחוב,1232,רמות
חרוב,,,יז. צמחים ובעלי חיים,,רחוב,1397,רמות
טדסקי,פרופ',גד,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1347,רמות
טווס,,,יז. צמחים ובעלי חיים,,רחוב,1310,רמות
טולדו וקבלו,,שלומי וליאור,ב. תושבי העיר,,גן,,רמות
טור סיני,פרופ',נפתלי,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1245,רמות
טם,פרופ',איגור,יא. תרבות ומדע,יג. פרס נובל,רחוב,1208,רמות
טרק,פרופ',גבריאל,ב. תושבי העיר,,רחוב,1342,רמות
יוסקה יריב,,(יוסף ריבקינד),ט. לוחמי ישראל,,רחוב,1366,רמות
ילין,פרופ',דוד,יא. תרבות ומדע,,רחוב,1249,רמות
ילין-מור,,נתן,ד. הסטוריה יהודית,ט. לוחמי ישראל,רחוב,1316,רמות
ינאית,,רחל בן צבי,ט. לוחמי ישראל,יב. פרס ישראל,רחוב,1266,רמות
יפה,אלוף,אברהם,ט. לוחמי ישראל,,רחוב,1338,רמות
יריב,אלוף,אהרון,ט. לוחמי ישראל,,רחוב,1323,רמות
לבון,,פנחס,טז. אנשי ציבור,,רחוב,1340,רמות
לוי,רב אלוף,משה,ט. לוחמי ישראל,,רחוב,1271,רמות
לויצקי,פרופ',יעקב,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1301,רמות
לוריא,,צבי,טו. מגילת העצמאות,,רחוב,1339,רמות
ליון,,,ו. ישובים הקשורים לעיר,,רחוב,6014,רמות
ליליאן,,אפרים משה,יא. תרבות ומדע,,רחוב,1257,רמות
לימון,,,יז. צמחים ובעלי חיים,,רחוב,1398,רמות
לינדנר,פרופ',יוחנן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1212,רמות
מגן,אלוף,קלמן,ט. לוחמי ישראל,,רחוב,1321,רמות
מודעי,,יצחק,טז. אנשי ציבור,,רחוב,1329,רמות
מיכאלסון,פרופ',יצחק,יא. תרבות ומדע,,רחוב,1217,רמות
מיכה,,(פרי),ב. תושבי העיר,,גן,,רמות
מנדלר,אלוף,אלברט,ט. לוחמי ישראל,,רחוב,1322,רמות
מעלה החטיבה,,,ט. לוחמי ישראל,,רחוב,1302,רמות
מרש,"עו""ד",יעקב,ב. תושבי העיר,,רחוב,1336,רמות
משה יצחק,פרופ',(בלוך),ד. הסטוריה יהודית,א. ידידי העיר,רחוב,1241,רמות
נובומייסקי,,משה,א. ידידי העיר,,גן,,רמות
נויפלד,פרופ',הנרי,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1219,רמות
נטר,,קארל,ד. הסטוריה יהודית,,רחוב,1315,רמות
נקר,,מאיר,ט. לוחמי ישראל,,רחוב,1303,רמות
נרקיס,אלוף,עוזי,ט. לוחמי ישראל,,רחוב,1360,רמות
סגל,פרופ',צבי,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1252,רמות
סגל,פרופ',שרגא,ב. תושבי העיר,,כיכר,6025,רמות
סדן,פרופ',דב,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1242,רמות
סימון,פרופ',עקיבא דוד ארנסט,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1230,רמות
סמבורסקי,פרופ',שמואל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1255,רמות
סנה,,נחום,ב. תושבי העיר,,רחוב,1396,רמות
עגור,,,יז. צמחים ובעלי חיים,,רחוב,1312,רמות
עמיצור,פרופ',שמשון,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1348,רמות
פאול,פרופ',(אהרליך),יא. תרבות ומדע,יג. פרס נובל,רחוב,1222,רמות
פיינשטיין,,מאיר,ט. לוחמי ישראל,,רחוב,1304,רמות
פיקרד,פרופ',יהודה ליאו,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1349,רמות
פלדברג,,שמואל,ב. תושבי העיר,,רחוב,1269,רמות
פליקס,פרופ',(בלוך),יא. תרבות ומדע,יג. פרס נובל,רחוב,1211,רמות
פליקס שפירא,,,ד. הסטוריה יהודית,,גן,,רמות
פראוור,פרופ',יהושע,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1218,רמות
פריבס,פרופ',משה,ב. תושבי העיר,,רחוב,1343,רמות
פריד,פרופ',אלפרד,יא. תרבות ומדע,יג. פרס נובל,רחוב,1202,רמות
פרנק,פרופ',ג'ימס,יא. תרבות ומדע,יג. פרס נובל,רחוב,1207,רמות
צבי-רן,"ד""ר",שלמה,ב. תושבי העיר,,רחוב,1261,רמות
"צה""ל",,,ט. לוחמי ישראל,,שדרות,1370,רמות
צונדק,פרופ',ברנהרד והרמן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1229,רמות
קאשני,,אליעזר,ט. לוחמי ישראל,,רחוב,1305,רמות
קהילת מונטריאול,,,א. ידידי העיר,,כיכר,6018,רמות
קהירי,,משה,ב. תושבי העיר,,רחוב,1394,רמות
קלוז-נפוקה,,,ו. ישובים הקשורים לעיר,,כיכר,,רמות
קלמן (פורת),,,ב. תושבי העיר,,רחוב,1368,רמות
קסן,פרופ',רנה,יא. תרבות ומדע,יג. פרס נובל,רחוב,1210,רמות
קציר,פרופ',אהרון,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1234,רמות
קרוק גלעד,פרופ',דורותיאה,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1244,רמות
רוזן,הרב,דוד משה,ה. חסידי אומות עולם,יד. יקירי העיר,גן,,רמות
רוטנשטרייך,פרופ',נתן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1390,רמות
ריבי,פרופ',איזידור,יא. תרבות ומדע,יג. פרס נובל,רחוב,1206,רמות
ריינר,פרופ',מרקוס,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1225,רמות
רימון,,,יז. צמחים ובעלי חיים,,רחוב,1373,רמות
רמות,,,כללי,,פארק,,רמות
רפאל,,(בן זיכרי),ב. תושבי העיר,,גן,,רמות
רקח,פרופ',יואל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1226,רמות
"רש""ל",רבי,שמעון לביא,ד. הסטוריה יהודית,,רחוב,1392,רמות
שופט,,אברהם,ב. תושבי העיר,,רחוב,1335,רמות
שושנה,הרב,חיים רפאל,ב. תושבי העיר,,רחוב,1391,רמות
שטרן,פרופ',יוסף,ב. תושבי העיר,,רחוב,1341,רמות
שינדלר,,אוסקר,ה. חסידי אומות עולם,,רחוב,1357,רמות
שירמן,פרופ',חיים,יא. תרבות ומדע,יב. פרס ישראל,רחוב,1254,רמות
שלמה,,(גבעון),ב. תושבי העיר,,גן,,רמות
שסק,,,יז. צמחים ובעלי חיים,,רחוב,1399,רמות
שפרן,"הרב ד""ר",יהודה אלכסנדר,ה. חסידי אומות עולם,,כיכר,6016,רמות
שקמה,,,יז. צמחים ובעלי חיים,,רחוב,1374,רמות
שריג,,נחום,ט. לוחמי ישראל,יד. יקירי העיר,רחוב,1359,רמות
שרשבסקי,"ד""ר",יוסף,ב. תושבי העיר,,רחוב,1393,רמות
שתל,"ד""ר",יצחק,ב. תושבי העיר,,רחוב,1264,רמות
תלמי,,מאיר,טז. אנשי ציבור,,רחוב,1331,רמות
תלמי,,אמה,טז. אנשי ציבור,,רחוב,1331,רמות
תקוע,,יוסף,ב. תושבי העיר,,רחוב,1263,רמות
האנרגיה,,,יא. תרבות ומדע,,רחוב,141,רמות - קריית הייטק
החדשנות,,,יא. תרבות ומדע,,רחוב,144,רמות - קריית הייטק
התבונה,,,יא. תרבות ומדע,,רחוב,140,רמות - קריית הייטק
חלקיקי האור,,,יא. תרבות ומדע,,רחוב,142,רמות - קריית הייטק
ציר הזמן,,,יא. תרבות ומדע,,רחוב,143,רמות - קריית הייטק
רוזן,פרופ',נתן,יא. תרבות ומדע,,שדרות,1460,רמות - קריית הייטק
תורת היחסות,,,יא. תרבות ומדע,,רחוב,145,רמות - קריית הייטק
